Sheath MFC,Sheath Pressure,Pneum. Atomizer MFC,Pneum. Atomizer Press.,Pneum. Impactor Exhaust MFC,Pneum. Impactor Exhaust Press.,Platen Heater,Ink,Ink_temp,Substrate,Print_speed,SPC,Viscosity,Surface Tension,Density,Line,Output
9.282,0.179,365.413,1.575,341.964,0.0,70.2,Tungsten,30.1,LTCC,0,60.0,275,29.0,2.4,0.0,0
9.282,0.179,365.413,1.59,340.987,0.0,69.5,Tungsten,30.1,LTCC,0,60.0,275,29.0,2.4,0.0,0
9.282,0.393,395.701,2.139,341.964,0.046,70.2,Tungsten,30.3,LTCC,0,60.0,275,29.0,2.4,0.0,0
9.184,0.392,396.678,2.132,341.964,0.043,69.8,Tungsten,30.3,LTCC,0,60.0,275,29.0,2.4,0.0,0
9.282,0.391,396.678,2.125,341.964,0.043,70.2,Tungsten,30.3,LTCC,0,60.0,275,29.0,2.4,0.0,0
9.282,0.389,396.678,2.125,340.987,0.037,70.5,Tungsten,30.3,LTCC,0,60.0,275,29.0,2.4,0.0,0
9.282,0.189,417.196,1.905,390.816,0.0,69.8,Tungsten,30.1,LTCC,0,60.0,275,29.0,2.4,0.0,0
9.282,0.19,417.196,1.905,389.839,0.0,69.8,Tungsten,30.1,LTCC,0,60.0,275,29.0,2.4,0.0,0
9.282,0.405,447.484,2.491,389.839,0.0,70.5,Tungsten,30.5,LTCC,0,60.0,275,29.0,2.4,0.0,0
9.282,0.405,447.484,2.484,390.816,0.0,70.8,Tungsten,30.5,LTCC,0,60.0,275,29.0,2.4,0.0,0
9.282,0.197,469.956,2.293,443.576,0.0,70.5,Tungsten,30.2,LTCC,0,60.0,275,29.0,2.4,0.0,0
9.282,0.195,469.956,2.286,444.553,0.0,70.2,Tungsten,30.2,LTCC,0,60.0,275,29.0,2.4,0.0,0
9.282,0.192,470.933,2.286,443.576,0.0,70.2,Tungsten,30.2,LTCC,0,60.0,275,29.0,2.4,0.0,0
9.282,0.408,501.221,2.908,444.553,0.0,70.2,Tungsten,30.2,LTCC,0,60.0,275,29.0,2.4,0.0,0
9.282,0.41,501.221,2.908,443.576,0.0,70.2,Tungsten,30.2,LTCC,0,60.0,275,29.0,2.4,0.0,0
9.282,0.21,520.762,2.711,493.405,0.0,70.2,Tungsten,30.5,LTCC,1,60.0,275,29.0,2.4,0.041,1
9.282,0.209,520.762,2.711,492.428,0.0,70.2,Tungsten,30.5,LTCC,1,60.0,275,29.0,2.4,0.041,1
9.282,0.208,520.762,2.711,494.382,0.0,70.2,Tungsten,30.5,LTCC,1,60.0,275,29.0,2.4,0.041,1
9.282,0.415,552.027,3.341,493.405,0.0,69.8,Tungsten,30.2,LTCC,0,60.0,275,29.0,2.4,0.0,0
9.282,0.415,551.05,3.333,493.405,0.0,70.2,Tungsten,30.2,LTCC,0,60.0,275,29.0,2.4,0.0,0
9.282,0.209,570.591,3.15,541.28,0.0,70.2,Tungsten,30.3,LTCC,1,60.0,275,29.0,2.4,0.044,1
9.282,0.421,600.879,3.817,541.28,0.0,70.8,Tungsten,30.3,LTCC,1,60.0,275,29.0,2.4,0.057,1
9.282,0.203,620.42,3.626,593.063,0.0,70.2,Tungsten,30.5,LTCC,1,60.0,275,29.0,2.4,0.047,1
9.282,0.203,621.397,3.641,592.086,0.0,70.2,Tungsten,30.5,LTCC,1,60.0,275,29.0,2.4,0.047,1
9.282,0.204,621.397,3.626,593.063,0.0,70.2,Tungsten,30.5,LTCC,1,60.0,275,29.0,2.4,0.047,1
